geoName,confusion
Alabama,79
Alaska,58
Arizona,73
Arkansas,90
California,70
Colorado,81
Connecticut,85
Delaware,85
District of Columbia,62
Florida,68
Georgia,63
Hawaii,64
Idaho,97
Illinois,80
Indiana,81
Iowa,84
Kansas,58
Kentucky,93
Louisiana,89
Maine,79
Maryland,76
Massachusetts,80
Michigan,69
Minnesota,61
Mississippi,68
Missouri,75
Montana,71
Nebraska,62
Nevada,56
New Hampshire,66
New Jersey,66
New Mexico,63
New York,74
North Carolina,67
North Dakota,58
Ohio,74
Oklahoma,63
Oregon,62
Pennsylvania,90
Rhode Island,61
South Carolina,73
South Dakota,71
Tennessee,69
Texas,60
Utah,78
Vermont,89
Virginia,77
Washington,75
West Virginia,100
Wisconsin,77
Wyoming,55
