date,confusion,isPartial
2014-01-05,89,False
2014-01-12,90,False
2014-01-19,78,False
2014-01-26,84,False
2014-02-02,89,False
2014-02-09,88,False
2014-02-16,85,False
2014-02-23,85,False
2014-03-02,90,False
2014-03-09,91,False
2014-03-16,83,False
2014-03-23,85,False
2014-03-30,92,False
2014-04-06,83,False
2014-04-13,91,False
2014-04-20,97,False
2014-04-27,99,False
2014-05-04,93,False
2014-05-11,98,False
2014-05-18,77,False
2014-05-25,82,False
2014-06-01,78,False
2014-06-08,75,False
2014-06-15,79,False
2014-06-22,85,False
2014-06-29,78,False
2014-07-06,95,False
2014-07-13,77,False
2014-07-20,78,False
2014-07-27,75,False
2014-08-03,83,False
2014-08-10,79,False
2014-08-17,78,False
2014-08-24,80,False
2014-08-31,79,False
2014-09-07,79,False
2014-09-14,82,False
2014-09-21,90,False
2014-09-28,83,False
2014-10-05,100,False
2014-10-12,97,False
2014-10-19,94,False
2014-10-26,86,False
2014-11-02,77,False
2014-11-09,82,False
2014-11-16,95,False
2014-11-23,74,False
2014-11-30,90,False
2014-12-07,81,False
2014-12-14,72,False
2014-12-21,60,False
2014-12-28,72,False
