date,confusion,isPartial
2012-01-01,74,False
2012-01-08,74,False
2012-01-15,73,False
2012-01-22,80,False
2012-01-29,66,False
2012-02-05,84,False
2012-02-12,71,False
2012-02-19,67,False
2012-02-26,84,False
2012-03-04,77,False
2012-03-11,69,False
2012-03-18,70,False
2012-03-25,74,False
2012-04-01,73,False
2012-04-08,73,False
2012-04-15,72,False
2012-04-22,76,False
2012-04-29,73,False
2012-05-06,67,False
2012-05-13,100,False
2012-05-20,72,False
2012-05-27,72,False
2012-06-03,73,False
2012-06-10,67,False
2012-06-17,69,False
2012-06-24,64,False
2012-07-01,60,False
2012-07-08,59,False
2012-07-15,62,False
2012-07-22,73,False
2012-07-29,63,False
2012-08-05,57,False
2012-08-12,66,False
2012-08-19,65,False
2012-08-26,70,False
2012-09-02,69,False
2012-09-09,74,False
2012-09-16,70,False
2012-09-23,74,False
2012-09-30,84,False
2012-10-07,70,False
2012-10-14,82,False
2012-10-21,84,False
2012-10-28,71,False
2012-11-04,70,False
2012-11-11,72,False
2012-11-18,66,False
2012-11-25,64,False
2012-12-02,82,False
2012-12-09,64,False
2012-12-16,64,False
2012-12-23,51,False
2012-12-30,71,False
