date,confusion,isPartial
2011-01-02,80,False
2011-01-09,87,False
2011-01-16,83,False
2011-01-23,81,False
2011-01-30,79,False
2011-02-06,91,False
2011-02-13,88,False
2011-02-20,85,False
2011-02-27,79,False
2011-03-06,78,False
2011-03-13,72,False
2011-03-20,79,False
2011-03-27,89,False
2011-04-03,88,False
2011-04-10,98,False
2011-04-17,85,False
2011-04-24,100,False
2011-05-01,91,False
2011-05-08,79,False
2011-05-15,86,False
2011-05-22,79,False
2011-05-29,77,False
2011-06-05,78,False
2011-06-12,72,False
2011-06-19,78,False
2011-06-26,60,False
2011-07-03,70,False
2011-07-10,76,False
2011-07-17,75,False
2011-07-24,64,False
2011-07-31,69,False
2011-08-07,62,False
2011-08-14,71,False
2011-08-21,68,False
2011-08-28,74,False
2011-09-04,76,False
2011-09-11,82,False
2011-09-18,81,False
2011-09-25,80,False
2011-10-02,73,False
2011-10-09,74,False
2011-10-16,77,False
2011-10-23,77,False
2011-10-30,84,False
2011-11-06,76,False
2011-11-13,85,False
2011-11-20,57,False
2011-11-27,76,False
2011-12-04,80,False
2011-12-11,76,False
2011-12-18,59,False
2011-12-25,58,False
