date,confusion,isPartial
2013-01-06,80,False
2013-01-13,79,False
2013-01-20,80,False
2013-01-27,83,False
2013-02-03,76,False
2013-02-10,76,False
2013-02-17,81,False
2013-02-24,93,False
2013-03-03,81,False
2013-03-10,83,False
2013-03-17,77,False
2013-03-24,79,False
2013-03-31,85,False
2013-04-07,100,False
2013-04-14,83,False
2013-04-21,85,False
2013-04-28,88,False
2013-05-05,83,False
2013-05-12,88,False
2013-05-19,81,False
2013-05-26,78,False
2013-06-02,86,False
2013-06-09,70,False
2013-06-16,74,False
2013-06-23,72,False
2013-06-30,69,False
2013-07-07,76,False
2013-07-14,76,False
2013-07-21,70,False
2013-07-28,68,False
2013-08-04,69,False
2013-08-11,74,False
2013-08-18,76,False
2013-08-25,70,False
2013-09-01,77,False
2013-09-08,83,False
2013-09-15,83,False
2013-09-22,82,False
2013-09-29,77,False
2013-10-06,88,False
2013-10-13,95,False
2013-10-20,93,False
2013-10-27,83,False
2013-11-03,82,False
2013-11-10,93,False
2013-11-17,80,False
2013-11-24,77,False
2013-12-01,82,False
2013-12-08,82,False
2013-12-15,76,False
2013-12-22,66,False
2013-12-29,70,False
