date,confusion,isPartial
2016-01-03,60,False
2016-01-10,64,False
2016-01-17,100,False
2016-01-24,76,False
2016-01-31,75,False
2016-02-07,77,False
2016-02-14,62,False
2016-02-21,81,False
2016-02-28,77,False
2016-03-06,72,False
2016-03-13,71,False
2016-03-20,68,False
2016-03-27,78,False
2016-04-03,74,False
2016-04-10,81,False
2016-04-17,77,False
2016-04-24,79,False
2016-05-01,67,False
2016-05-08,73,False
2016-05-15,64,False
2016-05-22,67,False
2016-05-29,62,False
2016-06-05,66,False
2016-06-12,60,False
2016-06-19,70,False
2016-06-26,62,False
2016-07-03,64,False
2016-07-10,66,False
2016-07-17,62,False
2016-07-24,67,False
2016-07-31,70,False
2016-08-07,61,False
2016-08-14,63,False
2016-08-21,59,False
2016-08-28,62,False
2016-09-04,65,False
2016-09-11,72,False
2016-09-18,70,False
2016-09-25,73,False
2016-10-02,67,False
2016-10-09,62,False
2016-10-16,72,False
2016-10-23,73,False
2016-10-30,73,False
2016-11-06,74,False
2016-11-13,88,False
2016-11-20,68,False
2016-11-27,76,False
2016-12-04,81,False
2016-12-11,77,False
2016-12-18,57,False
2016-12-25,59,False
