geoName,confusion
Alabama,94
Alaska,55
Arizona,79
Arkansas,67
California,84
Colorado,60
Connecticut,72
Delaware,82
District of Columbia,80
Florida,73
Georgia,76
Hawaii,77
Idaho,88
Illinois,88
Indiana,97
Iowa,73
Kansas,59
Kentucky,69
Louisiana,94
Maine,75
Maryland,85
Massachusetts,83
Michigan,80
Minnesota,81
Mississippi,73
Missouri,77
Montana,89
Nebraska,74
Nevada,73
New Hampshire,97
New Jersey,77
New Mexico,97
New York,82
North Carolina,84
North Dakota,67
Ohio,84
Oklahoma,81
Oregon,55
Pennsylvania,94
Rhode Island,98
South Carolina,89
South Dakota,69
Tennessee,88
Texas,73
Utah,85
Vermont,100
Virginia,65
Washington,78
West Virginia,83
Wisconsin,90
Wyoming,80
