geoName,pattern
Alabama,69
Alaska,100
Arizona,58
Arkansas,77
California,49
Colorado,63
Connecticut,51
Delaware,54
District of Columbia,40
Florida,48
Georgia,52
Hawaii,49
Idaho,93
Illinois,52
Indiana,69
Iowa,78
Kansas,59
Kentucky,64
Louisiana,59
Maine,95
Maryland,56
Massachusetts,54
Michigan,64
Minnesota,69
Mississippi,65
Missouri,64
Montana,100
Nebraska,70
Nevada,49
New Hampshire,79
New Jersey,46
New Mexico,74
New York,46
North Carolina,61
North Dakota,81
Ohio,62
Oklahoma,62
Oregon,48
Pennsylvania,60
Rhode Island,61
South Carolina,59
South Dakota,83
Tennessee,67
Texas,55
Utah,92
Vermont,88
Virginia,45
Washington,70
West Virginia,72
Wisconsin,76
Wyoming,90
