geoName,pattern
Alabama,73
Alaska,91
Arizona,59
Arkansas,80
California,48
Colorado,62
Connecticut,51
Delaware,59
District of Columbia,35
Florida,44
Georgia,50
Hawaii,59
Idaho,100
Illinois,47
Indiana,68
Iowa,73
Kansas,66
Kentucky,67
Louisiana,58
Maine,84
Maryland,53
Massachusetts,47
Michigan,61
Minnesota,65
Mississippi,62
Missouri,64
Montana,99
Nebraska,74
Nevada,52
New Hampshire,77
New Jersey,45
New Mexico,70
New York,43
North Carolina,61
North Dakota,76
Ohio,60
Oklahoma,64
Oregon,53
Pennsylvania,56
Rhode Island,56
South Carolina,62
South Dakota,81
Tennessee,66
Texas,51
Utah,89
Vermont,84
Virginia,56
Washington,73
West Virginia,73
Wisconsin,72
Wyoming,94
