date,pattern,isPartial
2016-01-03,90,False
2016-01-10,84,False
2016-01-17,90,False
2016-01-24,89,False
2016-01-31,90,False
2016-02-07,87,False
2016-02-14,85,False
2016-02-21,89,False
2016-02-28,88,False
2016-03-06,84,False
2016-03-13,84,False
2016-03-20,84,False
2016-03-27,82,False
2016-04-03,89,False
2016-04-10,85,False
2016-04-17,82,False
2016-04-24,78,False
2016-05-01,80,False
2016-05-08,76,False
2016-05-15,77,False
2016-05-22,76,False
2016-05-29,75,False
2016-06-05,73,False
2016-06-12,73,False
2016-06-19,73,False
2016-06-26,73,False
2016-07-03,71,False
2016-07-10,73,False
2016-07-17,72,False
2016-07-24,71,False
2016-07-31,72,False
2016-08-07,71,False
2016-08-14,74,False
2016-08-21,78,False
2016-08-28,77,False
2016-09-04,82,False
2016-09-11,84,False
2016-09-18,83,False
2016-09-25,85,False
2016-10-02,84,False
2016-10-09,89,False
2016-10-16,92,False
2016-10-23,100,False
2016-10-30,89,False
2016-11-06,81,False
2016-11-13,92,False
2016-11-20,83,False
2016-11-27,91,False
2016-12-04,94,False
2016-12-11,91,False
2016-12-18,81,False
2016-12-25,78,False
