date,pattern,isPartial
2015-01-04,83,False
2015-01-11,81,False
2015-01-18,81,False
2015-01-25,81,False
2015-02-01,76,False
2015-02-08,78,False
2015-02-15,77,False
2015-02-22,78,False
2015-03-01,79,False
2015-03-08,80,False
2015-03-15,75,False
2015-03-22,74,False
2015-03-29,73,False
2015-04-05,72,False
2015-04-12,73,False
2015-04-19,72,False
2015-04-26,70,False
2015-05-03,68,False
2015-05-10,70,False
2015-05-17,67,False
2015-05-24,66,False
2015-05-31,70,False
2015-06-07,70,False
2015-06-14,65,False
2015-06-21,65,False
2015-06-28,67,False
2015-07-05,68,False
2015-07-12,70,False
2015-07-19,68,False
2015-07-26,70,False
2015-08-02,69,False
2015-08-09,71,False
2015-08-16,73,False
2015-08-23,72,False
2015-08-30,75,False
2015-09-06,78,False
2015-09-13,77,False
2015-09-20,80,False
2015-09-27,79,False
2015-10-04,86,False
2015-10-11,86,False
2015-10-18,87,False
2015-10-25,100,False
2015-11-01,81,False
2015-11-08,83,False
2015-11-15,83,False
2015-11-22,78,False
2015-11-29,89,False
2015-12-06,84,False
2015-12-13,81,False
2015-12-20,72,False
2015-12-27,75,False
