geoName,pattern
Alabama,62
Alaska,100
Arizona,51
Arkansas,66
California,44
Colorado,58
Connecticut,46
Delaware,45
District of Columbia,32
Florida,41
Georgia,46
Hawaii,51
Idaho,91
Illinois,44
Indiana,62
Iowa,67
Kansas,66
Kentucky,60
Louisiana,54
Maine,77
Maryland,48
Massachusetts,45
Michigan,56
Minnesota,60
Mississippi,57
Missouri,61
Montana,95
Nebraska,59
Nevada,49
New Hampshire,67
New Jersey,40
New Mexico,60
New York,36
North Carolina,53
North Dakota,77
Ohio,54
Oklahoma,66
Oregon,73
Pennsylvania,52
Rhode Island,50
South Carolina,54
South Dakota,72
Tennessee,63
Texas,44
Utah,90
Vermont,81
Virginia,51
Washington,66
West Virginia,71
Wisconsin,64
Wyoming,83
