geoName,pattern
Alabama,64
Alaska,100
Arizona,58
Arkansas,69
California,51
Colorado,67
Connecticut,56
Delaware,63
District of Columbia,40
Florida,49
Georgia,54
Hawaii,60
Idaho,90
Illinois,53
Indiana,65
Iowa,72
Kansas,71
Kentucky,65
Louisiana,57
Maine,93
Maryland,53
Massachusetts,55
Michigan,63
Minnesota,68
Mississippi,67
Missouri,67
Montana,98
Nebraska,69
Nevada,50
New Hampshire,78
New Jersey,46
New Mexico,73
New York,50
North Carolina,62
North Dakota,73
Ohio,59
Oklahoma,73
Oregon,76
Pennsylvania,60
Rhode Island,61
South Carolina,63
South Dakota,76
Tennessee,65
Texas,52
Utah,85
Vermont,89
Virginia,62
Washington,75
West Virginia,76
Wisconsin,74
Wyoming,91
