geoName,pattern
Alabama,66
Alaska,93
Arizona,56
Arkansas,77
California,49
Colorado,62
Connecticut,49
Delaware,56
District of Columbia,33
Florida,42
Georgia,46
Hawaii,59
Idaho,89
Illinois,45
Indiana,68
Iowa,76
Kansas,72
Kentucky,68
Louisiana,54
Maine,86
Maryland,55
Massachusetts,49
Michigan,57
Minnesota,66
Mississippi,62
Missouri,63
Montana,98
Nebraska,64
Nevada,55
New Hampshire,75
New Jersey,44
New Mexico,71
New York,40
North Carolina,58
North Dakota,74
Ohio,59
Oklahoma,71
Oregon,81
Pennsylvania,54
Rhode Island,55
South Carolina,63
South Dakota,83
Tennessee,70
Texas,47
Utah,100
Vermont,82
Virginia,58
Washington,68
West Virginia,76
Wisconsin,68
Wyoming,89
