date,unloved,isPartial
2016-01-03,60,False
2016-01-10,46,False
2016-01-17,65,False
2016-01-24,100,False
2016-01-31,43,False
2016-02-07,61,False
2016-02-14,32,False
2016-02-21,68,False
2016-02-28,73,False
2016-03-06,80,False
2016-03-13,57,False
2016-03-20,48,False
2016-03-27,64,False
2016-04-03,61,False
2016-04-10,84,False
2016-04-17,69,False
2016-04-24,72,False
2016-05-01,54,False
2016-05-08,62,False
2016-05-15,80,False
2016-05-22,61,False
2016-05-29,46,False
2016-06-05,42,False
2016-06-12,66,False
2016-06-19,65,False
2016-06-26,65,False
2016-07-03,35,False
2016-07-10,56,False
2016-07-17,82,False
2016-07-24,28,False
2016-07-31,40,False
2016-08-07,45,False
2016-08-14,33,False
2016-08-21,47,False
2016-08-28,36,False
2016-09-04,57,False
2016-09-11,59,False
2016-09-18,49,False
2016-09-25,67,False
2016-10-02,64,False
2016-10-09,50,False
2016-10-16,47,False
2016-10-23,41,False
2016-10-30,77,False
2016-11-06,54,False
2016-11-13,40,False
2016-11-20,53,False
2016-11-27,45,False
2016-12-04,55,False
2016-12-11,73,False
2016-12-18,53,False
2016-12-25,51,False
