date,unloved,isPartial
2011-01-02,43,False
2011-01-09,49,False
2011-01-16,28,False
2011-01-23,63,False
2011-01-30,80,False
2011-02-06,81,False
2011-02-13,63,False
2011-02-20,63,False
2011-02-27,61,False
2011-03-06,34,False
2011-03-13,57,False
2011-03-20,41,False
2011-03-27,68,False
2011-04-03,68,False
2011-04-10,34,False
2011-04-17,56,False
2011-04-24,68,False
2011-05-01,20,False
2011-05-08,7,False
2011-05-15,61,False
2011-05-22,35,False
2011-05-29,43,False
2011-06-05,83,False
2011-06-12,35,False
2011-06-19,62,False
2011-06-26,56,False
2011-07-03,79,False
2011-07-10,14,False
2011-07-17,67,False
2011-07-24,66,False
2011-07-31,40,False
2011-08-07,33,False
2011-08-14,47,False
2011-08-21,52,False
2011-08-28,52,False
2011-09-04,58,False
2011-09-11,38,False
2011-09-18,50,False
2011-09-25,55,False
2011-10-02,31,False
2011-10-09,73,False
2011-10-16,61,False
2011-10-23,66,False
2011-10-30,49,False
2011-11-06,48,False
2011-11-13,100,False
2011-11-20,75,False
2011-11-27,96,False
2011-12-04,40,False
2011-12-11,52,False
2011-12-18,73,False
2011-12-25,25,False
