date,unloved,isPartial
2013-01-06,65,False
2013-01-13,57,False
2013-01-20,100,False
2013-01-27,63,False
2013-02-03,60,False
2013-02-10,41,False
2013-02-17,67,False
2013-02-24,70,False
2013-03-03,52,False
2013-03-10,75,False
2013-03-17,68,False
2013-03-24,46,False
2013-03-31,53,False
2013-04-07,64,False
2013-04-14,52,False
2013-04-21,65,False
2013-04-28,68,False
2013-05-05,53,False
2013-05-12,35,False
2013-05-19,54,False
2013-05-26,65,False
2013-06-02,85,False
2013-06-09,60,False
2013-06-16,94,False
2013-06-23,72,False
2013-06-30,41,False
2013-07-07,58,False
2013-07-14,38,False
2013-07-21,73,False
2013-07-28,50,False
2013-08-04,54,False
2013-08-11,73,False
2013-08-18,57,False
2013-08-25,48,False
2013-09-01,38,False
2013-09-08,70,False
2013-09-15,55,False
2013-09-22,75,False
2013-09-29,70,False
2013-10-06,82,False
2013-10-13,41,False
2013-10-20,59,False
2013-10-27,74,False
2013-11-03,85,False
2013-11-10,66,False
2013-11-17,29,False
2013-11-24,43,False
2013-12-01,34,False
2013-12-08,40,False
2013-12-15,56,False
2013-12-22,38,False
2013-12-29,54,False
