date,nightmarish,isPartial
2015-01-04,18,False
2015-01-11,9,False
2015-01-18,26,False
2015-01-25,26,False
2015-02-01,41,False
2015-02-08,42,False
2015-02-15,26,False
2015-02-22,34,False
2015-03-01,34,False
2015-03-08,26,False
2015-03-15,17,False
2015-03-22,10,False
2015-03-29,18,False
2015-04-05,9,False
2015-04-12,34,False
2015-04-19,97,False
2015-04-26,35,False
2015-05-03,9,False
2015-05-10,27,False
2015-05-17,28,False
2015-05-24,10,False
2015-05-31,0,False
2015-06-07,19,False
2015-06-14,0,False
2015-06-21,10,False
2015-06-28,19,False
2015-07-05,19,False
2015-07-12,29,False
2015-07-19,29,False
2015-07-26,28,False
2015-08-02,28,False
2015-08-09,19,False
2015-08-16,46,False
2015-08-23,0,False
2015-08-30,27,False
2015-09-06,36,False
2015-09-13,43,False
2015-09-20,43,False
2015-09-27,52,False
2015-10-04,17,False
2015-10-11,9,False
2015-10-18,93,False
2015-10-25,17,False
2015-11-01,100,False
2015-11-08,0,False
2015-11-15,25,False
2015-11-22,55,False
2015-11-29,32,False
2015-12-06,41,False
2015-12-13,17,False
2015-12-20,10,False
2015-12-27,18,False
