date,nightmarish,isPartial
2011-01-02,24,False
2011-01-09,46,False
2011-01-16,0,False
2011-01-23,23,False
2011-01-30,44,False
2011-02-06,0,False
2011-02-13,46,False
2011-02-20,46,False
2011-02-27,45,False
2011-03-06,22,False
2011-03-13,47,False
2011-03-20,0,False
2011-03-27,0,False
2011-04-03,22,False
2011-04-10,0,False
2011-04-17,0,False
2011-04-24,0,False
2011-05-01,0,False
2011-05-08,45,False
2011-05-15,0,False
2011-05-22,23,False
2011-05-29,0,False
2011-06-05,46,False
2011-06-12,23,False
2011-06-19,0,False
2011-06-26,46,False
2011-07-03,48,False
2011-07-10,22,False
2011-07-17,22,False
2011-07-24,22,False
2011-07-31,22,False
2011-08-07,65,False
2011-08-14,44,False
2011-08-21,64,False
2011-08-28,21,False
2011-09-04,21,False
2011-09-11,41,False
2011-09-18,0,False
2011-09-25,20,False
2011-10-02,0,False
2011-10-09,100,False
2011-10-16,20,False
2011-10-23,59,False
2011-10-30,20,False
2011-11-06,59,False
2011-11-13,19,False
2011-11-20,21,False
2011-11-27,37,False
2011-12-04,19,False
2011-12-11,38,False
2011-12-18,0,False
2011-12-25,21,False
