date,nightmarish,isPartial
2016-01-03,8,False
2016-01-10,8,False
2016-01-17,6,False
2016-01-24,14,False
2016-01-31,11,False
2016-02-07,5,False
2016-02-14,11,False
2016-02-21,8,False
2016-02-28,8,False
2016-03-06,16,False
2016-03-13,46,False
2016-03-20,23,False
2016-03-27,22,False
2016-04-03,5,False
2016-04-10,25,False
2016-04-17,5,False
2016-04-24,8,False
2016-05-01,8,False
2016-05-08,8,False
2016-05-15,17,False
2016-05-22,11,False
2016-05-29,9,False
2016-06-05,9,False
2016-06-12,6,False
2016-06-19,15,False
2016-06-26,12,False
2016-07-03,0,False
2016-07-10,9,False
2016-07-17,9,False
2016-07-24,3,False
2016-07-31,12,False
2016-08-07,6,False
2016-08-14,9,False
2016-08-21,6,False
2016-08-28,6,False
2016-09-04,25,False
2016-09-11,19,False
2016-09-18,16,False
2016-09-25,41,False
2016-10-02,36,False
2016-10-09,100,False
2016-10-16,17,False
2016-10-23,19,False
2016-10-30,11,False
2016-11-06,33,False
2016-11-13,30,False
2016-11-20,14,False
2016-11-27,20,False
2016-12-04,22,False
2016-12-11,13,False
2016-12-18,14,False
2016-12-25,26,False
