date,nightmarish,isPartial
2012-01-01,7,False
2012-01-08,0,False
2012-01-15,3,False
2012-01-22,10,False
2012-01-29,0,False
2012-02-05,7,False
2012-02-12,3,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,7,False
2012-03-11,10,False
2012-03-18,0,False
2012-03-25,3,False
2012-04-01,3,False
2012-04-08,0,False
2012-04-15,3,False
2012-04-22,6,False
2012-04-29,10,False
2012-05-06,7,False
2012-05-13,26,False
2012-05-20,100,False
2012-05-27,72,False
2012-06-03,54,False
2012-06-10,51,False
2012-06-17,27,False
2012-06-24,27,False
2012-07-01,28,False
2012-07-08,23,False
2012-07-15,16,False
2012-07-22,16,False
2012-07-29,3,False
2012-08-05,0,False
2012-08-12,6,False
2012-08-19,23,False
2012-08-26,3,False
2012-09-02,6,False
2012-09-09,12,False
2012-09-16,12,False
2012-09-23,12,False
2012-09-30,9,False
2012-10-07,0,False
2012-10-14,9,False
2012-10-21,12,False
2012-10-28,9,False
2012-11-04,9,False
2012-11-11,15,False
2012-11-18,6,False
2012-11-25,11,False
2012-12-02,3,False
2012-12-09,6,False
2012-12-16,3,False
2012-12-23,3,False
2012-12-30,6,False
