date,nightmarish,isPartial
2013-01-06,45,False
2013-01-13,6,False
2013-01-20,19,False
2013-01-27,19,False
2013-02-03,0,False
2013-02-10,13,False
2013-02-17,6,False
2013-02-24,37,False
2013-03-03,12,False
2013-03-10,0,False
2013-03-17,6,False
2013-03-24,32,False
2013-03-31,0,False
2013-04-07,6,False
2013-04-14,25,False
2013-04-21,19,False
2013-04-28,32,False
2013-05-05,13,False
2013-05-12,20,False
2013-05-19,84,False
2013-05-26,7,False
2013-06-02,19,False
2013-06-09,7,False
2013-06-16,20,False
2013-06-23,13,False
2013-06-30,28,False
2013-07-07,13,False
2013-07-14,6,False
2013-07-21,13,False
2013-07-28,26,False
2013-08-04,20,False
2013-08-11,6,False
2013-08-18,26,False
2013-08-25,100,False
2013-09-01,26,False
2013-09-08,37,False
2013-09-15,37,False
2013-09-22,0,False
2013-09-29,49,False
2013-10-06,25,False
2013-10-13,38,False
2013-10-20,37,False
2013-10-27,25,False
2013-11-03,43,False
2013-11-10,12,False
2013-11-17,12,False
2013-11-24,6,False
2013-12-01,29,False
2013-12-08,18,False
2013-12-15,6,False
2013-12-22,29,False
2013-12-29,19,False
