date,paranoid,isPartial
2012-01-01,74,False
2012-01-08,72,False
2012-01-15,78,False
2012-01-22,72,False
2012-01-29,75,False
2012-02-05,82,False
2012-02-12,80,False
2012-02-19,72,False
2012-02-26,95,False
2012-03-04,78,False
2012-03-11,80,False
2012-03-18,83,False
2012-03-25,75,False
2012-04-01,72,False
2012-04-08,82,False
2012-04-15,88,False
2012-04-22,86,False
2012-04-29,91,False
2012-05-06,74,False
2012-05-13,88,False
2012-05-20,86,False
2012-05-27,88,False
2012-06-03,84,False
2012-06-10,78,False
2012-06-17,75,False
2012-06-24,77,False
2012-07-01,72,False
2012-07-08,72,False
2012-07-15,86,False
2012-07-22,90,False
2012-07-29,83,False
2012-08-05,83,False
2012-08-12,88,False
2012-08-19,86,False
2012-08-26,79,False
2012-09-02,71,False
2012-09-09,71,False
2012-09-16,80,False
2012-09-23,93,False
2012-09-30,79,False
2012-10-07,92,False
2012-10-14,82,False
2012-10-21,87,False
2012-10-28,83,False
2012-11-04,89,False
2012-11-11,74,False
2012-11-18,87,False
2012-11-25,88,False
2012-12-02,100,False
2012-12-09,95,False
2012-12-16,83,False
2012-12-23,76,False
2012-12-30,73,False
