date,paranoid,isPartial
2016-01-03,48,False
2016-01-10,48,False
2016-01-17,50,False
2016-01-24,46,False
2016-01-31,43,False
2016-02-07,49,False
2016-02-14,47,False
2016-02-21,48,False
2016-02-28,45,False
2016-03-06,47,False
2016-03-13,42,False
2016-03-20,55,False
2016-03-27,53,False
2016-04-03,52,False
2016-04-10,48,False
2016-04-17,49,False
2016-04-24,50,False
2016-05-01,51,False
2016-05-08,53,False
2016-05-15,49,False
2016-05-22,48,False
2016-05-29,46,False
2016-06-05,47,False
2016-06-12,50,False
2016-06-19,50,False
2016-06-26,43,False
2016-07-03,41,False
2016-07-10,47,False
2016-07-17,46,False
2016-07-24,51,False
2016-07-31,43,False
2016-08-07,39,False
2016-08-14,42,False
2016-08-21,41,False
2016-08-28,43,False
2016-09-04,43,False
2016-09-11,44,False
2016-09-18,46,False
2016-09-25,48,False
2016-10-02,46,False
2016-10-09,42,False
2016-10-16,50,False
2016-10-23,45,False
2016-10-30,52,False
2016-11-06,42,False
2016-11-13,73,False
2016-11-20,100,False
2016-11-27,76,False
2016-12-04,63,False
2016-12-11,51,False
2016-12-18,48,False
2016-12-25,50,False
