date,paranoid,isPartial
2013-01-06,45,False
2013-01-13,48,False
2013-01-20,55,False
2013-01-27,51,False
2013-02-03,51,False
2013-02-10,48,False
2013-02-17,50,False
2013-02-24,53,False
2013-03-03,50,False
2013-03-10,49,False
2013-03-17,50,False
2013-03-24,47,False
2013-03-31,54,False
2013-04-07,55,False
2013-04-14,55,False
2013-04-21,57,False
2013-04-28,61,False
2013-05-05,67,False
2013-05-12,67,False
2013-05-19,65,False
2013-05-26,62,False
2013-06-02,57,False
2013-06-09,61,False
2013-06-16,60,False
2013-06-23,60,False
2013-06-30,49,False
2013-07-07,60,False
2013-07-14,58,False
2013-07-21,64,False
2013-07-28,69,False
2013-08-04,63,False
2013-08-11,68,False
2013-08-18,64,False
2013-08-25,59,False
2013-09-01,61,False
2013-09-08,66,False
2013-09-15,66,False
2013-09-22,66,False
2013-09-29,58,False
2013-10-06,60,False
2013-10-13,65,False
2013-10-20,69,False
2013-10-27,69,False
2013-11-03,88,False
2013-11-10,83,False
2013-11-17,80,False
2013-11-24,79,False
2013-12-01,80,False
2013-12-08,81,False
2013-12-15,97,False
2013-12-22,94,False
2013-12-29,100,False
