date,paranoid,isPartial
2015-01-04,92,False
2015-01-11,91,False
2015-01-18,95,False
2015-01-25,95,False
2015-02-01,86,False
2015-02-08,89,False
2015-02-15,86,False
2015-02-22,88,False
2015-03-01,88,False
2015-03-08,90,False
2015-03-15,84,False
2015-03-22,93,False
2015-03-29,73,False
2015-04-05,90,False
2015-04-12,88,False
2015-04-19,94,False
2015-04-26,88,False
2015-05-03,100,False
2015-05-10,90,False
2015-05-17,84,False
2015-05-24,92,False
2015-05-31,88,False
2015-06-07,78,False
2015-06-14,84,False
2015-06-21,76,False
2015-06-28,79,False
2015-07-05,88,False
2015-07-12,81,False
2015-07-19,90,False
2015-07-26,73,False
2015-08-02,68,False
2015-08-09,82,False
2015-08-16,78,False
2015-08-23,71,False
2015-08-30,74,False
2015-09-06,73,False
2015-09-13,83,False
2015-09-20,75,False
2015-09-27,73,False
2015-10-04,85,False
2015-10-11,86,False
2015-10-18,79,False
2015-10-25,80,False
2015-11-01,99,False
2015-11-08,76,False
2015-11-15,88,False
2015-11-22,71,False
2015-11-29,88,False
2015-12-06,88,False
2015-12-13,78,False
2015-12-20,68,False
2015-12-27,79,False
