date,exhausted,isPartial
2014-01-05,64,False
2014-01-12,77,False
2014-01-19,65,False
2014-01-26,64,False
2014-02-02,62,False
2014-02-09,67,False
2014-02-16,64,False
2014-02-23,74,False
2014-03-02,71,False
2014-03-09,65,False
2014-03-16,90,False
2014-03-23,84,False
2014-03-30,83,False
2014-04-06,76,False
2014-04-13,79,False
2014-04-20,78,False
2014-04-27,80,False
2014-05-04,70,False
2014-05-11,81,False
2014-05-18,77,False
2014-05-25,81,False
2014-06-01,85,False
2014-06-08,77,False
2014-06-15,75,False
2014-06-22,74,False
2014-06-29,75,False
2014-07-06,79,False
2014-07-13,72,False
2014-07-20,88,False
2014-07-27,100,False
2014-08-03,78,False
2014-08-10,81,False
2014-08-17,68,False
2014-08-24,77,False
2014-08-31,76,False
2014-09-07,75,False
2014-09-14,77,False
2014-09-21,65,False
2014-09-28,79,False
2014-10-05,82,False
2014-10-12,86,False
2014-10-19,66,False
2014-10-26,79,False
2014-11-02,77,False
2014-11-09,73,False
2014-11-16,67,False
2014-11-23,50,False
2014-11-30,75,False
2014-12-07,74,False
2014-12-14,70,False
2014-12-21,63,False
2014-12-28,60,False
