geoName,exhausted
Alabama,55
Alaska,66
Arizona,69
Arkansas,81
California,73
Colorado,72
Connecticut,66
Delaware,18
District of Columbia,73
Florida,70
Georgia,59
Hawaii,50
Idaho,100
Illinois,69
Indiana,65
Iowa,68
Kansas,69
Kentucky,56
Louisiana,73
Maine,88
Maryland,65
Massachusetts,90
Michigan,73
Minnesota,59
Mississippi,61
Missouri,69
Montana,66
Nebraska,76
Nevada,70
New Hampshire,83
New Jersey,75
New Mexico,59
New York,73
North Carolina,71
North Dakota,71
Ohio,61
Oklahoma,60
Oregon,44
Pennsylvania,76
Rhode Island,97
South Carolina,59
South Dakota,72
Tennessee,72
Texas,69
Utah,73
Vermont,77
Virginia,62
Washington,68
West Virginia,97
Wisconsin,73
Wyoming,45
