geoName,exhausted
Alabama,76
Alaska,26
Arizona,50
Arkansas,44
California,61
Colorado,52
Connecticut,66
Delaware,43
District of Columbia,67
Florida,56
Georgia,54
Hawaii,31
Idaho,71
Illinois,54
Indiana,53
Iowa,57
Kansas,48
Kentucky,55
Louisiana,55
Maine,68
Maryland,58
Massachusetts,60
Michigan,64
Minnesota,56
Mississippi,34
Missouri,46
Montana,45
Nebraska,61
Nevada,86
New Hampshire,57
New Jersey,75
New Mexico,71
New York,67
North Carolina,61
North Dakota,11
Ohio,55
Oklahoma,55
Oregon,61
Pennsylvania,63
Rhode Island,74
South Carolina,51
South Dakota,100
Tennessee,65
Texas,61
Utah,52
Vermont,49
Virginia,53
Washington,62
West Virginia,83
Wisconsin,43
Wyoming,73
