date,exhausted,isPartial
2011-01-02,73,False
2011-01-09,62,False
2011-01-16,58,False
2011-01-23,60,False
2011-01-30,60,False
2011-02-06,62,False
2011-02-13,56,False
2011-02-20,78,False
2011-02-27,59,False
2011-03-06,62,False
2011-03-13,52,False
2011-03-20,59,False
2011-03-27,62,False
2011-04-03,63,False
2011-04-10,63,False
2011-04-17,67,False
2011-04-24,83,False
2011-05-01,69,False
2011-05-08,68,False
2011-05-15,62,False
2011-05-22,75,False
2011-05-29,70,False
2011-06-05,100,False
2011-06-12,67,False
2011-06-19,71,False
2011-06-26,97,False
2011-07-03,57,False
2011-07-10,59,False
2011-07-17,67,False
2011-07-24,69,False
2011-07-31,70,False
2011-08-07,61,False
2011-08-14,61,False
2011-08-21,63,False
2011-08-28,65,False
2011-09-04,77,False
2011-09-11,70,False
2011-09-18,63,False
2011-09-25,75,False
2011-10-02,56,False
2011-10-09,76,False
2011-10-16,82,False
2011-10-23,80,False
2011-10-30,67,False
2011-11-06,66,False
2011-11-13,75,False
2011-11-20,37,False
2011-11-27,62,False
2011-12-04,59,False
2011-12-11,63,False
2011-12-18,60,False
2011-12-25,53,False
