date,exhausted,isPartial
2015-01-04,68,False
2015-01-11,77,False
2015-01-18,69,False
2015-01-25,58,False
2015-02-01,70,False
2015-02-08,72,False
2015-02-15,64,False
2015-02-22,72,False
2015-03-01,75,False
2015-03-08,72,False
2015-03-15,71,False
2015-03-22,68,False
2015-03-29,72,False
2015-04-05,73,False
2015-04-12,84,False
2015-04-19,83,False
2015-04-26,89,False
2015-05-03,79,False
2015-05-10,78,False
2015-05-17,85,False
2015-05-24,93,False
2015-05-31,81,False
2015-06-07,83,False
2015-06-14,85,False
2015-06-21,83,False
2015-06-28,75,False
2015-07-05,84,False
2015-07-12,76,False
2015-07-19,84,False
2015-07-26,82,False
2015-08-02,73,False
2015-08-09,96,False
2015-08-16,80,False
2015-08-23,86,False
2015-08-30,89,False
2015-09-06,69,False
2015-09-13,91,False
2015-09-20,83,False
2015-09-27,84,False
2015-10-04,81,False
2015-10-11,77,False
2015-10-18,77,False
2015-10-25,100,False
2015-11-01,89,False
2015-11-08,86,False
2015-11-15,77,False
2015-11-22,61,False
2015-11-29,69,False
2015-12-06,61,False
2015-12-13,63,False
2015-12-20,67,False
2015-12-27,68,False
