date,exhausted,isPartial
2013-01-06,82,False
2013-01-13,63,False
2013-01-20,79,False
2013-01-27,76,False
2013-02-03,79,False
2013-02-10,73,False
2013-02-17,86,False
2013-02-24,79,False
2013-03-03,76,False
2013-03-10,93,False
2013-03-17,73,False
2013-03-24,80,False
2013-03-31,86,False
2013-04-07,73,False
2013-04-14,91,False
2013-04-21,81,False
2013-04-28,75,False
2013-05-05,93,False
2013-05-12,83,False
2013-05-19,71,False
2013-05-26,74,False
2013-06-02,63,False
2013-06-09,80,False
2013-06-16,79,False
2013-06-23,92,False
2013-06-30,84,False
2013-07-07,82,False
2013-07-14,88,False
2013-07-21,84,False
2013-07-28,86,False
2013-08-04,78,False
2013-08-11,77,False
2013-08-18,75,False
2013-08-25,71,False
2013-09-01,85,False
2013-09-08,81,False
2013-09-15,82,False
2013-09-22,76,False
2013-09-29,100,False
2013-10-06,94,False
2013-10-13,87,False
2013-10-20,78,False
2013-10-27,81,False
2013-11-03,82,False
2013-11-10,81,False
2013-11-17,87,False
2013-11-24,75,False
2013-12-01,73,False
2013-12-08,62,False
2013-12-15,69,False
2013-12-22,71,False
2013-12-29,68,False
