geoName,exhausted
Alabama,46
Alaska,34
Arizona,71
Arkansas,44
California,64
Colorado,79
Connecticut,62
Delaware,58
District of Columbia,56
Florida,63
Georgia,60
Hawaii,64
Idaho,44
Illinois,64
Indiana,56
Iowa,70
Kansas,45
Kentucky,63
Louisiana,61
Maine,70
Maryland,61
Massachusetts,70
Michigan,60
Minnesota,68
Mississippi,49
Missouri,65
Montana,44
Nebraska,62
Nevada,78
New Hampshire,54
New Jersey,75
New Mexico,63
New York,68
North Carolina,62
North Dakota,72
Ohio,59
Oklahoma,51
Oregon,68
Pennsylvania,84
Rhode Island,67
South Carolina,64
South Dakota,48
Tennessee,69
Texas,58
Utah,57
Vermont,100
Virginia,79
Washington,56
West Virginia,67
Wisconsin,60
Wyoming,59
