date,exhausted,isPartial
2016-01-03,74,False
2016-01-10,85,False
2016-01-17,76,False
2016-01-24,81,False
2016-01-31,74,False
2016-02-07,79,False
2016-02-14,79,False
2016-02-21,83,False
2016-02-28,90,False
2016-03-06,86,False
2016-03-13,78,False
2016-03-20,86,False
2016-03-27,80,False
2016-04-03,86,False
2016-04-10,77,False
2016-04-17,84,False
2016-04-24,80,False
2016-05-01,82,False
2016-05-08,88,False
2016-05-15,75,False
2016-05-22,76,False
2016-05-29,76,False
2016-06-05,81,False
2016-06-12,87,False
2016-06-19,74,False
2016-06-26,79,False
2016-07-03,66,False
2016-07-10,88,False
2016-07-17,71,False
2016-07-24,77,False
2016-07-31,71,False
2016-08-07,75,False
2016-08-14,77,False
2016-08-21,70,False
2016-08-28,83,False
2016-09-04,80,False
2016-09-11,90,False
2016-09-18,88,False
2016-09-25,82,False
2016-10-02,79,False
2016-10-09,72,False
2016-10-16,87,False
2016-10-23,78,False
2016-10-30,100,False
2016-11-06,63,False
2016-11-13,76,False
2016-11-20,51,False
2016-11-27,75,False
2016-12-04,76,False
2016-12-11,78,False
2016-12-18,62,False
2016-12-25,56,False
