geoName,exhausted
Alabama,50
Alaska,45
Arizona,56
Arkansas,59
California,57
Colorado,54
Connecticut,55
Delaware,72
District of Columbia,70
Florida,53
Georgia,47
Hawaii,57
Idaho,61
Illinois,54
Indiana,55
Iowa,44
Kansas,57
Kentucky,53
Louisiana,38
Maine,62
Maryland,56
Massachusetts,68
Michigan,56
Minnesota,49
Mississippi,61
Missouri,49
Montana,45
Nebraska,53
Nevada,64
New Hampshire,44
New Jersey,56
New Mexico,70
New York,53
North Carolina,54
North Dakota,58
Ohio,56
Oklahoma,60
Oregon,45
Pennsylvania,56
Rhode Island,45
South Carolina,45
South Dakota,54
Tennessee,55
Texas,53
Utah,64
Vermont,28
Virginia,38
Washington,62
West Virginia,100
Wisconsin,56
Wyoming,35
