geoName,exhausted
Alabama,67
Alaska,93
Arizona,76
Arkansas,80
California,73
Colorado,64
Connecticut,71
Delaware,51
District of Columbia,92
Florida,61
Georgia,73
Hawaii,66
Idaho,71
Illinois,67
Indiana,66
Iowa,78
Kansas,70
Kentucky,62
Louisiana,61
Maine,77
Maryland,61
Massachusetts,70
Michigan,73
Minnesota,66
Mississippi,61
Missouri,68
Montana,70
Nebraska,82
Nevada,70
New Hampshire,73
New Jersey,73
New Mexico,74
New York,70
North Carolina,69
North Dakota,45
Ohio,63
Oklahoma,78
Oregon,70
Pennsylvania,79
Rhode Island,57
South Carolina,69
South Dakota,53
Tennessee,63
Texas,67
Utah,59
Vermont,58
Virginia,83
Washington,72
West Virginia,68
Wisconsin,65
Wyoming,100
