geoName,forlorn
Alabama,44
Alaska,52
Arizona,43
Arkansas,100
California,64
Colorado,49
Connecticut,85
Delaware,67
District of Columbia,62
Florida,65
Georgia,70
Hawaii,58
Idaho,52
Illinois,56
Indiana,49
Iowa,39
Kansas,61
Kentucky,68
Louisiana,58
Maine,72
Maryland,65
Massachusetts,61
Michigan,58
Minnesota,61
Mississippi,95
Missouri,51
Montana,17
Nebraska,74
Nevada,75
New Hampshire,45
New Jersey,65
New Mexico,18
New York,52
North Carolina,61
North Dakota,41
Ohio,62
Oklahoma,56
Oregon,57
Pennsylvania,63
Rhode Island,81
South Carolina,64
South Dakota,0
Tennessee,71
Texas,52
Utah,58
Vermont,78
Virginia,58
Washington,65
West Virginia,35
Wisconsin,43
Wyoming,0
