date,forlorn,isPartial
2012-01-01,68,False
2012-01-08,78,False
2012-01-15,78,False
2012-01-22,65,False
2012-01-29,65,False
2012-02-05,72,False
2012-02-12,90,False
2012-02-19,100,False
2012-02-26,93,False
2012-03-04,80,False
2012-03-11,86,False
2012-03-18,59,False
2012-03-25,72,False
2012-04-01,74,False
2012-04-08,79,False
2012-04-15,41,False
2012-04-22,67,False
2012-04-29,79,False
2012-05-06,71,False
2012-05-13,74,False
2012-05-20,71,False
2012-05-27,66,False
2012-06-03,56,False
2012-06-10,54,False
2012-06-17,52,False
2012-06-24,57,False
2012-07-01,67,False
2012-07-08,65,False
2012-07-15,48,False
2012-07-22,58,False
2012-07-29,65,False
2012-08-05,47,False
2012-08-12,64,False
2012-08-19,45,False
2012-08-26,58,False
2012-09-02,64,False
2012-09-09,68,False
2012-09-16,52,False
2012-09-23,85,False
2012-09-30,81,False
2012-10-07,77,False
2012-10-14,76,False
2012-10-21,68,False
2012-10-28,80,False
2012-11-04,66,False
2012-11-11,66,False
2012-11-18,56,False
2012-11-25,80,False
2012-12-02,59,False
2012-12-09,80,False
2012-12-16,78,False
2012-12-23,55,False
2012-12-30,74,False
