date,forlorn,isPartial
2015-01-04,54,False
2015-01-11,58,False
2015-01-18,55,False
2015-01-25,60,False
2015-02-01,61,False
2015-02-08,59,False
2015-02-15,41,False
2015-02-22,58,False
2015-03-01,71,False
2015-03-08,66,False
2015-03-15,53,False
2015-03-22,62,False
2015-03-29,51,False
2015-04-05,64,False
2015-04-12,100,False
2015-04-19,86,False
2015-04-26,85,False
2015-05-03,70,False
2015-05-10,78,False
2015-05-17,61,False
2015-05-24,52,False
2015-05-31,54,False
2015-06-07,54,False
2015-06-14,36,False
2015-06-21,70,False
2015-06-28,59,False
2015-07-05,44,False
2015-07-12,55,False
2015-07-19,42,False
2015-07-26,52,False
2015-08-02,38,False
2015-08-09,42,False
2015-08-16,49,False
2015-08-23,58,False
2015-08-30,51,False
2015-09-06,49,False
2015-09-13,66,False
2015-09-20,54,False
2015-09-27,72,False
2015-10-04,45,False
2015-10-11,44,False
2015-10-18,59,False
2015-10-25,67,False
2015-11-01,60,False
2015-11-08,66,False
2015-11-15,53,False
2015-11-22,45,False
2015-11-29,62,False
2015-12-06,63,False
2015-12-13,71,False
2015-12-20,44,False
2015-12-27,45,False
