date,forlorn,isPartial
2013-01-06,60,False
2013-01-13,63,False
2013-01-20,81,False
2013-01-27,85,False
2013-02-03,72,False
2013-02-10,67,False
2013-02-17,71,False
2013-02-24,85,False
2013-03-03,60,False
2013-03-10,72,False
2013-03-17,71,False
2013-03-24,94,False
2013-03-31,71,False
2013-04-07,76,False
2013-04-14,56,False
2013-04-21,73,False
2013-04-28,76,False
2013-05-05,68,False
2013-05-12,52,False
2013-05-19,69,False
2013-05-26,50,False
2013-06-02,56,False
2013-06-09,46,False
2013-06-16,50,False
2013-06-23,60,False
2013-06-30,53,False
2013-07-07,36,False
2013-07-14,62,False
2013-07-21,53,False
2013-07-28,36,False
2013-08-04,55,False
2013-08-11,79,False
2013-08-18,43,False
2013-08-25,48,False
2013-09-01,60,False
2013-09-08,61,False
2013-09-15,64,False
2013-09-22,77,False
2013-09-29,76,False
2013-10-06,94,False
2013-10-13,71,False
2013-10-20,65,False
2013-10-27,73,False
2013-11-03,77,False
2013-11-10,77,False
2013-11-17,100,False
2013-11-24,50,False
2013-12-01,86,False
2013-12-08,68,False
2013-12-15,64,False
2013-12-22,62,False
2013-12-29,46,False
