date,forlorn,isPartial
2011-01-02,55,False
2011-01-09,59,False
2011-01-16,65,False
2011-01-23,64,False
2011-01-30,63,False
2011-02-06,50,False
2011-02-13,46,False
2011-02-20,67,False
2011-02-27,53,False
2011-03-06,64,False
2011-03-13,39,False
2011-03-20,39,False
2011-03-27,49,False
2011-04-03,57,False
2011-04-10,43,False
2011-04-17,57,False
2011-04-24,47,False
2011-05-01,73,False
2011-05-08,65,False
2011-05-15,42,False
2011-05-22,46,False
2011-05-29,60,False
2011-06-05,36,False
2011-06-12,39,False
2011-06-19,57,False
2011-06-26,100,False
2011-07-03,76,False
2011-07-10,76,False
2011-07-17,72,False
2011-07-24,79,False
2011-07-31,61,False
2011-08-07,54,False
2011-08-14,62,False
2011-08-21,50,False
2011-08-28,57,False
2011-09-04,53,False
2011-09-11,68,False
2011-09-18,72,False
2011-09-25,72,False
2011-10-02,59,False
2011-10-09,60,False
2011-10-16,64,False
2011-10-23,57,False
2011-10-30,61,False
2011-11-06,55,False
2011-11-13,59,False
2011-11-20,51,False
2011-11-27,52,False
2011-12-04,36,False
2011-12-11,51,False
2011-12-18,52,False
2011-12-25,19,False
