date,forlorn,isPartial
2014-01-05,70,False
2014-01-12,77,False
2014-01-19,88,False
2014-01-26,78,False
2014-02-02,65,False
2014-02-09,97,False
2014-02-16,82,False
2014-02-23,91,False
2014-03-02,78,False
2014-03-09,77,False
2014-03-16,75,False
2014-03-23,78,False
2014-03-30,68,False
2014-04-06,74,False
2014-04-13,62,False
2014-04-20,72,False
2014-04-27,89,False
2014-05-04,84,False
2014-05-11,80,False
2014-05-18,76,False
2014-05-25,60,False
2014-06-01,55,False
2014-06-08,46,False
2014-06-15,58,False
2014-06-22,56,False
2014-06-29,46,False
2014-07-06,49,False
2014-07-13,80,False
2014-07-20,39,False
2014-07-27,39,False
2014-08-03,48,False
2014-08-10,55,False
2014-08-17,60,False
2014-08-24,73,False
2014-08-31,49,False
2014-09-07,82,False
2014-09-14,75,False
2014-09-21,100,False
2014-09-28,73,False
2014-10-05,82,False
2014-10-12,75,False
2014-10-19,94,False
2014-10-26,97,False
2014-11-02,88,False
2014-11-09,94,False
2014-11-16,84,False
2014-11-23,55,False
2014-11-30,73,False
2014-12-07,72,False
2014-12-14,73,False
2014-12-21,60,False
2014-12-28,62,False
