geoName,forlorn
Alabama,44
Alaska,100
Arizona,55
Arkansas,45
California,48
Colorado,38
Connecticut,31
Delaware,11
District of Columbia,37
Florida,40
Georgia,56
Hawaii,53
Idaho,89
Illinois,52
Indiana,47
Iowa,64
Kansas,37
Kentucky,44
Louisiana,36
Maine,49
Maryland,55
Massachusetts,40
Michigan,57
Minnesota,31
Mississippi,50
Missouri,38
Montana,34
Nebraska,65
Nevada,49
New Hampshire,57
New Jersey,50
New Mexico,25
New York,47
North Carolina,54
North Dakota,14
Ohio,42
Oklahoma,30
Oregon,48
Pennsylvania,57
Rhode Island,31
South Carolina,57
South Dakota,14
Tennessee,34
Texas,41
Utah,51
Vermont,53
Virginia,43
Washington,55
West Virginia,88
Wisconsin,58
Wyoming,0
