geoName,forlorn
Alabama,44
Alaska,35
Arizona,37
Arkansas,52
California,48
Colorado,46
Connecticut,49
Delaware,19
District of Columbia,50
Florida,48
Georgia,60
Hawaii,64
Idaho,45
Illinois,43
Indiana,50
Iowa,41
Kansas,27
Kentucky,45
Louisiana,66
Maine,45
Maryland,52
Massachusetts,39
Michigan,55
Minnesota,58
Mississippi,25
Missouri,39
Montana,57
Nebraska,53
Nevada,63
New Hampshire,79
New Jersey,51
New Mexico,40
New York,50
North Carolina,32
North Dakota,47
Ohio,54
Oklahoma,77
Oregon,100
Pennsylvania,57
Rhode Island,50
South Carolina,61
South Dakota,24
Tennessee,57
Texas,52
Utah,36
Vermont,86
Virginia,39
Washington,42
West Virginia,40
Wisconsin,30
Wyoming,0
