geoName,therapy
Alabama,75
Alaska,85
Arizona,82
Arkansas,82
California,69
Colorado,78
Connecticut,89
Delaware,89
District of Columbia,68
Florida,68
Georgia,60
Hawaii,65
Idaho,91
Illinois,70
Indiana,74
Iowa,74
Kansas,57
Kentucky,73
Louisiana,67
Maine,95
Maryland,83
Massachusetts,86
Michigan,73
Minnesota,74
Mississippi,69
Missouri,70
Montana,90
Nebraska,82
Nevada,69
New Hampshire,87
New Jersey,82
New Mexico,85
New York,78
North Carolina,73
North Dakota,82
Ohio,71
Oklahoma,75
Oregon,49
Pennsylvania,83
Rhode Island,100
South Carolina,68
South Dakota,79
Tennessee,77
Texas,66
Utah,83
Vermont,90
Virginia,56
Washington,82
West Virginia,77
Wisconsin,72
Wyoming,86
