geoName,therapy
Alabama,76
Alaska,92
Arizona,86
Arkansas,80
California,72
Colorado,88
Connecticut,100
Delaware,96
District of Columbia,70
Florida,76
Georgia,65
Hawaii,68
Idaho,100
Illinois,70
Indiana,76
Iowa,83
Kansas,64
Kentucky,78
Louisiana,81
Maine,95
Maryland,88
Massachusetts,89
Michigan,75
Minnesota,79
Mississippi,78
Missouri,75
Montana,100
Nebraska,87
Nevada,72
New Hampshire,89
New Jersey,85
New Mexico,83
New York,80
North Carolina,77
North Dakota,95
Ohio,78
Oklahoma,75
Oregon,65
Pennsylvania,92
Rhode Island,97
South Carolina,69
South Dakota,84
Tennessee,79
Texas,66
Utah,91
Vermont,98
Virginia,50
Washington,85
West Virginia,88
Wisconsin,78
Wyoming,92
