geoName,therapy
Alabama,72
Alaska,96
Arizona,87
Arkansas,75
California,69
Colorado,86
Connecticut,98
Delaware,92
District of Columbia,74
Florida,71
Georgia,66
Hawaii,72
Idaho,95
Illinois,72
Indiana,72
Iowa,83
Kansas,75
Kentucky,77
Louisiana,78
Maine,93
Maryland,85
Massachusetts,90
Michigan,80
Minnesota,82
Mississippi,75
Missouri,75
Montana,100
Nebraska,89
Nevada,71
New Hampshire,88
New Jersey,87
New Mexico,83
New York,90
North Carolina,77
North Dakota,91
Ohio,76
Oklahoma,81
Oregon,87
Pennsylvania,91
Rhode Island,93
South Carolina,74
South Dakota,80
Tennessee,82
Texas,69
Utah,83
Vermont,95
Virginia,86
Washington,91
West Virginia,84
Wisconsin,75
Wyoming,97
