geoName,therapy
Alabama,78
Alaska,86
Arizona,82
Arkansas,82
California,70
Colorado,84
Connecticut,84
Delaware,92
District of Columbia,73
Florida,66
Georgia,62
Hawaii,65
Idaho,95
Illinois,69
Indiana,73
Iowa,75
Kansas,67
Kentucky,77
Louisiana,74
Maine,96
Maryland,82
Massachusetts,87
Michigan,74
Minnesota,76
Mississippi,66
Missouri,70
Montana,93
Nebraska,85
Nevada,69
New Hampshire,91
New Jersey,80
New Mexico,88
New York,78
North Carolina,74
North Dakota,80
Ohio,77
Oklahoma,76
Oregon,55
Pennsylvania,85
Rhode Island,90
South Carolina,79
South Dakota,84
Tennessee,79
Texas,60
Utah,81
Vermont,100
Virginia,76
Washington,85
West Virginia,84
Wisconsin,73
Wyoming,94
