geoName,therapy
Alabama,76
Alaska,82
Arizona,89
Arkansas,85
California,76
Colorado,93
Connecticut,92
Delaware,99
District of Columbia,69
Florida,74
Georgia,66
Hawaii,75
Idaho,90
Illinois,74
Indiana,77
Iowa,82
Kansas,76
Kentucky,88
Louisiana,82
Maine,92
Maryland,88
Massachusetts,89
Michigan,73
Minnesota,79
Mississippi,79
Missouri,73
Montana,94
Nebraska,88
Nevada,79
New Hampshire,95
New Jersey,86
New Mexico,94
New York,83
North Carolina,83
North Dakota,93
Ohio,75
Oklahoma,79
Oregon,94
Pennsylvania,92
Rhode Island,100
South Carolina,84
South Dakota,90
Tennessee,87
Texas,68
Utah,94
Vermont,98
Virginia,83
Washington,90
West Virginia,96
Wisconsin,80
Wyoming,90
