geoName,health
Alabama,60
Alaska,67
Arizona,74
Arkansas,66
California,53
Colorado,75
Connecticut,73
Delaware,56
District of Columbia,68
Florida,65
Georgia,59
Hawaii,57
Idaho,84
Illinois,62
Indiana,78
Iowa,62
Kansas,66
Kentucky,76
Louisiana,57
Maine,71
Maryland,73
Massachusetts,82
Michigan,74
Minnesota,89
Mississippi,70
Missouri,67
Montana,74
Nebraska,74
Nevada,59
New Hampshire,72
New Jersey,58
New Mexico,64
New York,67
North Carolina,75
North Dakota,100
Ohio,70
Oklahoma,63
Oregon,75
Pennsylvania,71
Rhode Island,72
South Carolina,64
South Dakota,78
Tennessee,70
Texas,54
Utah,72
Vermont,85
Virginia,69
Washington,74
West Virginia,67
Wisconsin,81
Wyoming,68
