geoName,health
Alabama,58
Alaska,65
Arizona,73
Arkansas,63
California,54
Colorado,72
Connecticut,75
Delaware,63
District of Columbia,66
Florida,65
Georgia,57
Hawaii,52
Idaho,85
Illinois,61
Indiana,75
Iowa,63
Kansas,51
Kentucky,67
Louisiana,56
Maine,69
Maryland,76
Massachusetts,80
Michigan,70
Minnesota,85
Mississippi,63
Missouri,66
Montana,71
Nebraska,69
Nevada,64
New Hampshire,68
New Jersey,57
New Mexico,64
New York,56
North Carolina,72
North Dakota,100
Ohio,72
Oklahoma,54
Oregon,58
Pennsylvania,68
Rhode Island,70
South Carolina,63
South Dakota,81
Tennessee,70
Texas,52
Utah,71
Vermont,80
Virginia,43
Washington,75
West Virginia,64
Wisconsin,80
Wyoming,65
