geoName,health
Alabama,62
Alaska,67
Arizona,70
Arkansas,71
California,48
Colorado,69
Connecticut,72
Delaware,61
District of Columbia,76
Florida,64
Georgia,58
Hawaii,54
Idaho,82
Illinois,61
Indiana,75
Iowa,70
Kansas,70
Kentucky,62
Louisiana,58
Maine,68
Maryland,74
Massachusetts,80
Michigan,76
Minnesota,81
Mississippi,69
Missouri,68
Montana,79
Nebraska,79
Nevada,59
New Hampshire,67
New Jersey,61
New Mexico,68
New York,59
North Carolina,68
North Dakota,95
Ohio,70
Oklahoma,67
Oregon,71
Pennsylvania,71
Rhode Island,71
South Carolina,62
South Dakota,100
Tennessee,75
Texas,52
Utah,75
Vermont,84
Virginia,67
Washington,73
West Virginia,69
Wisconsin,90
Wyoming,65
