geoName,health
Alabama,61
Alaska,64
Arizona,68
Arkansas,75
California,51
Colorado,69
Connecticut,66
Delaware,59
District of Columbia,71
Florida,60
Georgia,56
Hawaii,59
Idaho,80
Illinois,60
Indiana,79
Iowa,71
Kansas,67
Kentucky,63
Louisiana,55
Maine,71
Maryland,71
Massachusetts,79
Michigan,72
Minnesota,83
Mississippi,63
Missouri,67
Montana,79
Nebraska,76
Nevada,62
New Hampshire,70
New Jersey,58
New Mexico,67
New York,56
North Carolina,68
North Dakota,100
Ohio,67
Oklahoma,66
Oregon,72
Pennsylvania,71
Rhode Island,75
South Carolina,61
South Dakota,91
Tennessee,73
Texas,50
Utah,72
Vermont,81
Virginia,70
Washington,69
West Virginia,70
Wisconsin,84
Wyoming,69
