geoName,health
Alabama,60
Alaska,70
Arizona,73
Arkansas,67
California,54
Colorado,69
Connecticut,73
Delaware,63
District of Columbia,74
Florida,62
Georgia,57
Hawaii,54
Idaho,83
Illinois,60
Indiana,78
Iowa,66
Kansas,57
Kentucky,64
Louisiana,55
Maine,74
Maryland,73
Massachusetts,81
Michigan,70
Minnesota,83
Mississippi,62
Missouri,67
Montana,78
Nebraska,74
Nevada,65
New Hampshire,67
New Jersey,60
New Mexico,70
New York,58
North Carolina,74
North Dakota,100
Ohio,69
Oklahoma,56
Oregon,48
Pennsylvania,71
Rhode Island,74
South Carolina,63
South Dakota,85
Tennessee,71
Texas,51
Utah,72
Vermont,94
Virginia,51
Washington,77
West Virginia,61
Wisconsin,81
Wyoming,69
