geoName,death
Alabama,87
Alaska,79
Arizona,87
Arkansas,89
California,82
Colorado,86
Connecticut,82
Delaware,89
District of Columbia,80
Florida,78
Georgia,83
Hawaii,74
Idaho,88
Illinois,80
Indiana,96
Iowa,86
Kansas,89
Kentucky,92
Louisiana,89
Maine,87
Maryland,84
Massachusetts,87
Michigan,84
Minnesota,82
Mississippi,90
Missouri,86
Montana,87
Nebraska,87
Nevada,91
New Hampshire,89
New Jersey,84
New Mexico,94
New York,80
North Carolina,87
North Dakota,83
Ohio,89
Oklahoma,94
Oregon,85
Pennsylvania,89
Rhode Island,92
South Carolina,89
South Dakota,89
Tennessee,89
Texas,81
Utah,81
Vermont,94
Virginia,87
Washington,85
West Virginia,100
Wisconsin,87
Wyoming,92
