geoName,death
Alabama,90
Alaska,79
Arizona,85
Arkansas,91
California,82
Colorado,82
Connecticut,82
Delaware,86
District of Columbia,73
Florida,80
Georgia,82
Hawaii,74
Idaho,89
Illinois,80
Indiana,94
Iowa,84
Kansas,89
Kentucky,89
Louisiana,84
Maine,84
Maryland,82
Massachusetts,83
Michigan,88
Minnesota,76
Mississippi,88
Missouri,89
Montana,83
Nebraska,83
Nevada,95
New Hampshire,88
New Jersey,83
New Mexico,90
New York,82
North Carolina,82
North Dakota,82
Ohio,86
Oklahoma,92
Oregon,83
Pennsylvania,88
Rhode Island,93
South Carolina,86
South Dakota,88
Tennessee,89
Texas,80
Utah,83
Vermont,84
Virginia,83
Washington,85
West Virginia,100
Wisconsin,86
Wyoming,93
