geoName,death
Alabama,90
Alaska,85
Arizona,89
Arkansas,96
California,85
Colorado,85
Connecticut,88
Delaware,89
District of Columbia,81
Florida,82
Georgia,86
Hawaii,83
Idaho,97
Illinois,85
Indiana,93
Iowa,96
Kansas,78
Kentucky,95
Louisiana,88
Maine,92
Maryland,86
Massachusetts,90
Michigan,89
Minnesota,86
Mississippi,91
Missouri,91
Montana,92
Nebraska,89
Nevada,100
New Hampshire,93
New Jersey,83
New Mexico,89
New York,81
North Carolina,86
North Dakota,88
Ohio,92
Oklahoma,90
Oregon,70
Pennsylvania,91
Rhode Island,94
South Carolina,85
South Dakota,81
Tennessee,90
Texas,82
Utah,86
Vermont,94
Virginia,63
Washington,89
West Virginia,97
Wisconsin,90
Wyoming,96
