geoName,death
Alabama,87
Alaska,88
Arizona,89
Arkansas,91
California,88
Colorado,88
Connecticut,86
Delaware,87
District of Columbia,78
Florida,79
Georgia,88
Hawaii,79
Idaho,92
Illinois,82
Indiana,93
Iowa,87
Kansas,85
Kentucky,90
Louisiana,84
Maine,95
Maryland,86
Massachusetts,85
Michigan,89
Minnesota,86
Mississippi,89
Missouri,93
Montana,92
Nebraska,86
Nevada,97
New Hampshire,90
New Jersey,86
New Mexico,91
New York,80
North Carolina,86
North Dakota,86
Ohio,88
Oklahoma,95
Oregon,84
Pennsylvania,93
Rhode Island,90
South Carolina,89
South Dakota,90
Tennessee,94
Texas,82
Utah,86
Vermont,98
Virginia,86
Washington,90
West Virginia,100
Wisconsin,93
Wyoming,89
