geoName,death
Alabama,89
Alaska,78
Arizona,87
Arkansas,97
California,85
Colorado,84
Connecticut,82
Delaware,83
District of Columbia,76
Florida,78
Georgia,81
Hawaii,75
Idaho,89
Illinois,82
Indiana,91
Iowa,86
Kansas,91
Kentucky,93
Louisiana,87
Maine,93
Maryland,84
Massachusetts,84
Michigan,87
Minnesota,81
Mississippi,87
Missouri,89
Montana,90
Nebraska,82
Nevada,96
New Hampshire,88
New Jersey,83
New Mexico,91
New York,76
North Carolina,84
North Dakota,82
Ohio,87
Oklahoma,94
Oregon,58
Pennsylvania,89
Rhode Island,90
South Carolina,89
South Dakota,84
Tennessee,89
Texas,86
Utah,84
Vermont,87
Virginia,84
Washington,84
West Virginia,100
Wisconsin,87
Wyoming,86
