date,death,isPartial
2012-01-01,38,False
2012-01-08,37,False
2012-01-15,39,False
2012-01-22,41,False
2012-01-29,39,False
2012-02-05,38,False
2012-02-12,100,False
2012-02-19,47,False
2012-02-26,44,False
2012-03-04,39,False
2012-03-11,38,False
2012-03-18,43,False
2012-03-25,40,False
2012-04-01,41,False
2012-04-08,45,False
2012-04-15,45,False
2012-04-22,41,False
2012-04-29,47,False
2012-05-06,40,False
2012-05-13,40,False
2012-05-20,39,False
2012-05-27,36,False
2012-06-03,37,False
2012-06-10,35,False
2012-06-17,37,False
2012-06-24,35,False
2012-07-01,36,False
2012-07-08,39,False
2012-07-15,41,False
2012-07-22,41,False
2012-07-29,34,False
2012-08-05,38,False
2012-08-12,36,False
2012-08-19,38,False
2012-08-26,40,False
2012-09-02,43,False
2012-09-09,40,False
2012-09-16,35,False
2012-09-23,38,False
2012-09-30,37,False
2012-10-07,36,False
2012-10-14,36,False
2012-10-21,38,False
2012-10-28,39,False
2012-11-04,37,False
2012-11-11,36,False
2012-11-18,34,False
2012-11-25,37,False
2012-12-02,40,False
2012-12-09,46,False
2012-12-16,36,False
2012-12-23,36,False
2012-12-30,37,False
