date,death,isPartial
2013-01-06,44,False
2013-01-13,44,False
2013-01-20,44,False
2013-01-27,44,False
2013-02-03,42,False
2013-02-10,43,False
2013-02-17,46,False
2013-02-24,43,False
2013-03-03,44,False
2013-03-10,44,False
2013-03-17,44,False
2013-03-24,44,False
2013-03-31,51,False
2013-04-07,46,False
2013-04-14,52,False
2013-04-21,48,False
2013-04-28,46,False
2013-05-05,45,False
2013-05-12,45,False
2013-05-19,44,False
2013-05-26,43,False
2013-06-02,41,False
2013-06-09,41,False
2013-06-16,41,False
2013-06-23,45,False
2013-06-30,47,False
2013-07-07,42,False
2013-07-14,61,False
2013-07-21,50,False
2013-07-28,55,False
2013-08-04,41,False
2013-08-11,43,False
2013-08-18,43,False
2013-08-25,40,False
2013-09-01,43,False
2013-09-08,42,False
2013-09-15,39,False
2013-09-22,41,False
2013-09-29,43,False
2013-10-06,47,False
2013-10-13,44,False
2013-10-20,44,False
2013-10-27,44,False
2013-11-03,45,False
2013-11-10,47,False
2013-11-17,49,False
2013-11-24,44,False
2013-12-01,100,False
2013-12-08,49,False
2013-12-15,45,False
2013-12-22,46,False
2013-12-29,48,False
