date,death,isPartial
2011-01-02,52,False
2011-01-09,51,False
2011-01-16,49,False
2011-01-23,49,False
2011-01-30,46,False
2011-02-06,49,False
2011-02-13,48,False
2011-02-20,49,False
2011-02-27,47,False
2011-03-06,54,False
2011-03-13,75,False
2011-03-20,61,False
2011-03-27,52,False
2011-04-03,50,False
2011-04-10,49,False
2011-04-17,49,False
2011-04-24,54,False
2011-05-01,100,False
2011-05-08,57,False
2011-05-15,54,False
2011-05-22,55,False
2011-05-29,54,False
2011-06-05,45,False
2011-06-12,44,False
2011-06-19,76,False
2011-06-26,48,False
2011-07-03,52,False
2011-07-10,52,False
2011-07-17,73,False
2011-07-24,67,False
2011-07-31,48,False
2011-08-07,47,False
2011-08-14,58,False
2011-08-21,48,False
2011-08-28,48,False
2011-09-04,46,False
2011-09-11,47,False
2011-09-18,56,False
2011-09-25,50,False
2011-10-02,57,False
2011-10-09,52,False
2011-10-16,56,False
2011-10-23,54,False
2011-10-30,50,False
2011-11-06,55,False
2011-11-13,51,False
2011-11-20,48,False
2011-11-27,53,False
2011-12-04,51,False
2011-12-11,49,False
2011-12-18,49,False
2011-12-25,47,False
