geoName,opinion
Alabama,12
Alaska,8
Arizona,12
Arkansas,14
California,14
Colorado,11
Connecticut,14
Delaware,16
District of Columbia,18
Florida,12
Georgia,10
Hawaii,12
Idaho,15
Illinois,12
Indiana,13
Iowa,13
Kansas,15
Kentucky,12
Louisiana,12
Maine,11
Maryland,15
Massachusetts,11
Michigan,12
Minnesota,10
Mississippi,14
Missouri,12
Montana,12
Nebraska,13
Nevada,13
New Hampshire,12
New Jersey,13
New Mexico,11
New York,12
North Carolina,13
North Dakota,13
Ohio,12
Oklahoma,11
Oregon,10
Pennsylvania,25
Rhode Island,12
South Carolina,13
South Dakota,100
Tennessee,12
Texas,11
Utah,13
Vermont,17
Virginia,15
Washington,10
West Virginia,14
Wisconsin,12
Wyoming,12
