geoName,opinion
Alabama,13
Alaska,13
Arizona,15
Arkansas,19
California,17
Colorado,13
Connecticut,16
Delaware,17
District of Columbia,19
Florida,15
Georgia,13
Hawaii,13
Idaho,16
Illinois,13
Indiana,17
Iowa,16
Kansas,14
Kentucky,15
Louisiana,13
Maine,16
Maryland,19
Massachusetts,14
Michigan,14
Minnesota,13
Mississippi,16
Missouri,14
Montana,13
Nebraska,16
Nevada,17
New Hampshire,16
New Jersey,15
New Mexico,15
New York,15
North Carolina,15
North Dakota,18
Ohio,14
Oklahoma,15
Oregon,15
Pennsylvania,27
Rhode Island,13
South Carolina,16
South Dakota,100
Tennessee,15
Texas,13
Utah,15
Vermont,15
Virginia,19
Washington,13
West Virginia,16
Wisconsin,14
Wyoming,16
